,股票代码,股票名称,最新价,涨幅,3日均线,5日均线,10日均线,3日均线涨幅,5日均线涨幅,10日均线涨幅
2209,600150,*ST船舶,16.68,4.97,8,11,12,21.4,23.28,25.89
1632,300276,三丰智能,13.72,10.02,3,2,17,10.56,10.02,25.87
552,002099,海翔药业,5.79,1.22,1,7,18,0.0,3.39,25.87
2774,600825,新华传媒,7.01,6.7,2,2,14,6.7,6.7,25.85
2482,600497,驰宏锌锗,5.46,0.18,2,18,17,0.18,28.47,25.81
3069,601999,出版传媒,6.73,6.15,4,18,17,8.03,28.44,25.79
590,002137,麦达数字,7.76,10.07,3,2,14,11.98,10.07,25.77
635,002183,怡 亚 通,5.76,1.59,8,18,16,14.97,30.91,25.76
2046,300706,阿石创,31.10,7.32,1,1,15,0.0,0.0,25.76
907,002460,赣锋锂业,27.49,1.25,3,2,17,1.97,1.25,25.75
778,002329,皇氏集团,4.20,2.69,2,1,16,2.69,0.0,25.75
1645,300290,荣科科技,8.55,6.08,8,8,16,16.33,16.33,25.74
1878,300527,中国应急,8.60,3.99,3,18,18,5.26,25.73,25.73
86,000418,小天鹅Ａ,56.95,1.46,3,2,34,2.06,1.46,25.72
630,002178,延华智能,4.60,4.31,2,2,16,4.31,4.31,25.68
2794,600848,上海临港,25.85,7.08,8,8,18,16.49,16.49,25.67
1942,300598,诚迈科技,25.76,5.1,4,2,15,8.92,5.1,25.66
455,001979,招商蛇口,21.82,-0.59,2,2,38,-0.59,-0.59,25.62
789,002340,格林美,5.15,6.63,2,2,17,6.63,6.63,25.61
2413,600388,龙净环保,13.15,-0.3,4,4,27,4.2,4.2,25.6
325,000816,*ST慧业,2.11,0.96,3,7,18,2.43,11.05,25.6
2356,600320,振华重工,4.17,-0.48,-1,8,17,0.0,20.17,25.6
2652,600692,亚通股份,8.30,4.4,5,8,16,5.33,11.86,25.57
1701,300346,南大光电,14.35,3.76,3,3,4,14.16,14.16,25.55
2881,600990,四创电子,44.70,3.19,2,2,17,3.19,3.19,25.53
3032,601866,中远海发,3.05,1.33,8,8,17,20.08,20.08,25.51
2406,600380,健康元,8.32,0.48,8,7,18,15.72,8.9,25.49
2136,600064,南京高科,9.70,5.55,2,2,17,5.55,5.55,25.49
1106,002665,首航节能,3.25,3.5,2,2,16,3.5,3.5,25.48
560,002107,沃华医药,8.62,4.23,2,18,17,4.23,27.7,25.47
1881,300530,达志科技,38.03,-1.02,17,17,16,25.93,25.93,25.47
118,000526,紫光学大,23.67,-0.55,4,3,17,5.81,3.23,25.44
2567,600595,中孚实业,2.86,7.52,3,1,13,8.33,0.0,25.44
1862,300510,金冠股份,11.65,1.57,1,1,16,0.0,0.0,25.4
114,000521,长虹美菱,3.95,4.22,2,17,17,4.22,25.4,25.4
1705,300350,华鹏飞,7.11,4.25,4,16,15,4.41,27.88,25.4
913,002466,天齐锂业,37.55,0.45,3,10,17,0.94,14.97,25.38
2242,600187,国中水务,3.46,4.85,2,2,16,4.85,4.85,25.36
264,000723,美锦能源,5.54,1.28,3,3,17,0.36,0.36,25.34
2554,600581,八一钢铁,4.75,-0.42,3,12,17,2.81,20.56,25.33
2443,600435,北方导航,9.75,3.07,5,18,17,5.18,28.29,25.32
2304,600258,首旅酒店,19.30,-1.03,-2,-1,18,-1.03,0.0,25.32
2194,600129,太极集团,10.99,1.38,4,18,17,2.71,30.83,25.31
1636,300280,紫天科技,41.10,-3.97,3,3,18,5.63,5.63,25.3
2346,600309,万华化学,41.03,-1.25,-1,-1,21,0.0,0.0,25.28
2016,300674,宇信科技,36.92,3.53,2,2,14,3.53,3.53,25.28
1771,300418,昆仑万维,16.56,8.31,2,2,15,8.31,8.31,25.26
