,股票代码,股票名称,最新价,涨幅,3日均线,5日均线,10日均线,3日均线涨幅,5日均线涨幅,10日均线涨幅
937,002514,宝馨科技,6.46,0.62,4,10,19,9.12,15.98,23.52
3253,603648,畅联股份,12.50,1.21,4,19,18,6.38,25.13,23.52
3017,603039,泛微网络,91.15,2.47,6,4,30,2.74,2.84,23.51
1413,300086,康芝药业,6.78,2.11,10,20,18,18.32,27.68,23.5
1956,300661,圣邦股份,101.00,-3.35,-1,4,10,0.0,9.41,23.49
2189,600189,吉林森工,4.89,2.73,10,9,19,16.71,12.16,23.48
105,000514,渝 开 发,4.63,4.75,5,19,18,10.5,24.8,23.47
2132,600117,西宁特钢,4.21,0.96,4,4,17,4.73,4.73,23.46
1604,300285,国瓷材料,19.53,-2.84,-2,-1,22,-2.84,0.0,23.45
1487,300163,先锋新材,4.32,3.1,3,3,17,6.4,6.4,23.43
